Country,Year,Reserve
Afghanistan,2022,0
Åland Islands,2022,0
Albania,2022,0
Algeria,2022,12200
American Samoa,2022,0
Andorra,2022,0
Angola,2022,2550
Anguilla,2022,0
Antarctica,2022,0
Antigua & Barbuda,2022,0
Argentina,2022,2838
Armenia,2022,0
Aruba,2022,0
Australia,2022,1803
Austria,2022,0
Azerbaijan,2022,7000
Bahamas,2022,0
Bahrain,2022,0
Bangladesh,2022,0
Barbados,2022,0
Belarus,2022,198
Belgium,2022,0
Belize,2022,0
Benin,2022,0
Bermuda,2022,0
Bhutan,2022,0
Bolivia,2022,0
Bosnia & Herzegovina,2022,0
Botswana,2022,0
Bouvet Island,2022,0
Brazil,2022,13242
British Indian Ocean Territory,2022,0
British Virgin Islands,2022,0
Brunei,2022,1100
Bulgaria,2022,0
Burkina Faso,2022,0
Burundi,2022,0
Cambodia,2022,0
Cameroon,2022,0
Canada,2022,4731
Cape Verde,2022,0
Caribbean Netherlands,2022,0
Cayman Islands,2022,0
Central African Republic,2022,0
Chad,2022,0
Chile,2022,150
China,2022,27003
Christmas Island,2022,0
Cocos (Keeling) Islands,2022,0
Colombia,2022,2040
Comoros,2022,0
Congo,2022,1811
Cook Islands,2022,0
Costa Rica,2022,0
Côte d’Ivoire,2022,0
Croatia,2022,0
Cuba,2022,0
Curaçao,2022,0
Cyprus,2022,0
Czechia,2022,0
Denmark,2022,340
Djibouti,2022,0
Dominica,2022,0
Dominican Republic,2022,0
Ecuador,2022,8273
Egypt,2022,3300
El Salvador,2022,0
Equatorial Guinea,2022,1100
Eritrea,2022,0
Estonia,2022,0
Eswatini,2022,0
Ethiopia,2022,0
Falkland Islands,2022,0
Faroe Islands,2022,0
Fiji,2022,0
Finland,2022,0
France,2022,0
French Guiana,2022,0
French Polynesia,2022,0
French Southern Territories,2022,0
Gabon,2022,2000
Gambia,2022,0
Georgia,2022,0
Germany,2022,0
Ghana,2022,0
Gibraltar,2022,0
Greece,2022,0
Greenland,2022,0
Grenada,2022,0
Guadeloupe,2022,0
Guam,2022,0
Guatemala,2022,0
Guernsey,2022,0
Guinea,2022,0
Guinea-Bissau,2022,0
Guyana,2022,0
Haiti,2022,0
Heard & McDonald Islands,2022,0
Honduras,2022,0
Hong Kong SAR China,2022,0
Hungary,2022,0
Iceland,2022,0
India,2022,4370
Indonesia,2022,2250
Iran,2022,208600
Iraq,2022,145019
Ireland,2022,0
Isle of Man,2022,0
Israel,2022,0
Italy,2022,0
Jamaica,2022,0
