Country,Year,Reserve
Afghanistan,2022,72.75246
Åland Islands,2022,0
Albania,2022,575.40582
Algeria,2022,245.81513
American Samoa,2022,0
Andorra,2022,0
Angola,2022,0
Anguilla,2022,0
Antarctica,2022,0
Antigua & Barbuda,2022,0
Argentina,2022,881.848
Armenia,2022,349.43227
Aruba,2022,0
Australia,2022,165596.7244
Austria,2022,0
Azerbaijan,2022,0
Bahamas,2022,0
Bahrain,2022,0
Bangladesh,2022,3593.5306
Barbados,2022,0
Belarus,2022,0
Belgium,2022,4519.471
Belize,2022,0
Benin,2022,0
Bermuda,2022,0
Bhutan,2022,0
Bolivia,2022,1.10231
Bosnia & Herzegovina,2022,0
Botswana,2022,1829.8346
Bouvet Island,2022,0
Brazil,2022,7270.83676
British Indian Ocean Territory,2022,0
British Virgin Islands,2022,0
Brunei,2022,0
Bulgaria,2022,2608.06546
Burkina Faso,2022,0
Burundi,2022,0
Cambodia,2022,0
Cameroon,2022,0
Canada,2022,7255.40442
Cape Verde,2022,0
Caribbean Netherlands,2022,0
Cayman Islands,2022,0
Central African Republic,2022,3.30693
Chad,2022,0
Chile,2022,1301.82811
China,2022,157847.4851
Christmas Island,2022,0
Cocos (Keeling) Islands,2022,0
Colombia,2022,5019.91974
Comoros,2022,0
Congo,2022,0
Republic of the Congo,2022,0
Cook Islands,2022,0
Costa Rica,2022,0
Côte d'Ivoire,2022,0
Croatia,2022,0
Cuba,2022,0
Curaçao,2022,0
Cyprus,2022,0
Czech Rep.,2022,3962.80445
Denmark,2022,0
Djibouti,2022,0
Dominica,2022,0
Dominican Republic,2022,0
Ecuador,2022,26.45544
Egypt,2022,200.62042
El Salvador,2022,0
Equatorial Guinea,2022,0
Eritrea,2022,0
Estonia,2022,0
Eswatini,2022,5119.12764
Ethiopia,2022,0
Falkland Islands,2022,0
Faroe Islands,2022,0
Fiji,2022,0
Finland,2022,0
France,2022,176.3696
French Guiana,2022,0
French Polynesia,2022,0
French Southern Territories,2022,0
Gabon,2022,0
Gambia,2022,0
Georgia,2022,993.18131
Germany,2022,39572.929
Ghana,2022,0
Gibraltar,2022,0
Greece,2022,3170.24356
Greenland,2022,422.18473
Grenada,2022,0
Guadeloupe,2022,0
Guam,2022,0
Guatemala,2022,0
Guernsey,2022,0
Guinea,2022,0
Guinea-Bissau,2022,0
Guyana,2022,0
Haiti,2022,0
Heard & McDonald Islands,2022,0
Honduras,2022,0
Hong Kong SAR China,2022,0
Hungary,2022,3206.61979
Iceland,2022,0
India,2022,122413.7301
Indonesia,2022,38436.44739
Iran,2022,1326.07893
Iraq,2022,0
Ireland,2022,44.0924
Isle of Man,2022,0
Israel,2022,0
Italy,2022,672.4091
Jamaica,2022,0
Japan,2022,385.8085
Jersey,2022,0
Jordan,2022,0
Kazakhstan,2022,28224.64755
Kenya,2022,0
Kiribati,2022,0
Kuwait,2022,0
Kyrgyzstan,2022,31414.73269
Laos,2022,68.34322
Latvia,2022,0
